id	tok	eng	cmn
7365	ni li open pona.	That's a good start.	
7366	sina kin li wile pali e ni, anu seme?	That's a job of your own choosing, isn't it?	
7367	mi sona e ni taso.	That's all I know.	
7368	ni li wile ali pi jan Ton.	That's all Tom wants.	
7369	ni li moku mute.	That's a lot of food.	
7370	ni li sitelen mute pi toki ante.	That's a lot of translations.	
7371	tenpo ali la, ni li pakala.	That's always broken.	
7372	ni li suli mute. ijo ante ali li suli lili.	That's a matter of prime importance.	
7373	ni li tomo pi pona lukin.	That's a nice-looking house.	
7374	toki ni li musi.	That's an interesting language.	
7375	toki ni li musi tawa sona mi.	That's an interesting language.	
7376	seme ni li jaki.	That's an offensive question.	
7377	ijo ni li kon. mi ken ala pana e ona tawa sona sina.	That's a secret I can't tell you.	
7378	"jan Jokan li toki: ""ni li pona lukin""."	That's beautiful, said John.	
7379	tawa lukin la ni li open sona.	That seems understandable.	
7380	o pini lape!	That's enough! Open your eyes and wake up now!	
7381	ijo ni li tawa jan Ton.	That's for Tom.	
7382	tenpo pini la, ona li open kepeken nasin ni.	That's how it started.	
7383	nasin ni la ona li kama sona e toki Inli.	That's how they learnt English.	
7384	ni li ike.	That's immoral.	
7385	ona li toki taso.	That's just a rumor.	
7386	ni li ike mute.	That's just so sad.	
7387	ni li sama e pakala lon sike mije.	That's like a kick in the nuts.	
7388	ni li mi. ni li jan Ton. ni li jan Mele.	That's me, that's Tom and that's Mary.	
7389	nasin ni la sina pana e mani tawa poki jaki.	That's money down the drain.	
7390	ni li ilo tawa mi pi sike tu.	That's my bike.	
7391	ni li ijo mi.	That's my business.	
7392	nimi mi li ni kin.	That's my real name.	
7393	ni li ilo sitelen kepeken suno. meli sama mi li lawa e ijo ni.	That's my sister's camera.	
7394	ni li pona ala.	That's no good.	
7395	ni li musi ala!	That's not funny!	
7396	ni li nasin toki taso.	That's nothing but a figure of speech.	
7397	ni li pona ala tawa sona mi.	That's not interesting.	
7398	ona li ken ala.	That's not possible.	
7399	mi kute e ona. mi pilin e ni: ona li nasa.	That sounded weird.	
7400	mi kute e ona. ni li pona tawa mi.	That sounds beautiful.	
7401	ni li pona kute.	That sounds beautiful.	
7402	mi pilin e ni: mi sona e ona.	That sounds familiar.	
7403	mi kute e ona. ona li musi tawa mi.	That sounds fun.	
7404	lukin la ona li pona mute.	That sounds great.	
7405	lukin la ona li pona mute.	That sounds interesting.	
7406	toki ni li sona pona tawa mi.	That sounds like a smart idea.	
7407	ijo ni li sama kalama pi linja tomo tawa.	That sounds like a train.	
7408	pilin mi la ona li pona.	That sounds sensible.	
7409	ni li nasa kute.	That sounds stupid.	
7410	ni li ma mi.	That's our planet.	
7411	ijo ni li linja tomo tawa pi mi mute.	That's our train.	
7412	ni li ken.	That's plausible.	
7413	ken la tan li ni.	That's probably why.	
7414	ni li sitelen sewi.	That's quite an art.	
7415	ni li jaki!	That's revolting.	
7416	ni li ike mute.	That's so unfair.	
7417	ni li telo kasi seli.	That's tea.	
7418	ni li tan pi pilin utala ona.	That's the reason he became angry.	
7419	ni li nasin.	That's the system.	
7420	tomo esun ni li esun e ijo mute.	That store sells all kinds of things.	
7421	tomo esun ni li esun e soweli e kala.	That store sells meat and fish.	
7422	ni li jaki.	That's trash.	
7423	ni li lon anu seme?	That's true, isn't it?	
7424	lon.	That's true.	
7425	sona ni li pona.	That's useful information!	
7426	ni li pona mute.	That's very good.	
7427	ni li seme mi.	That's what I asked.	
7428	mi pali e ni kin.	That's what I'll do.	
7429	ni li nimi mi tawa jan.	That's what people call me.	
7430	meli li toki e ni.	That's what she said.	
7431	ni li nasa kin.	That's what's weird.	
7432	jan Ton li wile weka e ni kin.	That's what Tom wants to avoid.	
7433	tenpo pini kin la sina toki e ni.	That's what you said before.	
7434	tan ni la ona li pali e ni.	That's why they did it.	
7435	jan Ton li kama moli tan seme.	That's why Tom died.	
7436	jan li pali e ilo musi ni kepeken kasi.	That toy is made of wood.	
7437	kasi suli ni li poka telo tawa li kasi suli Wanu.	That tree near the river is a walnut tree.	
7438	mama pi tenpo pini li sewi tawa kulupi ni.	That tribe worships its ancestors.	
7439	ona li sitelen tawa pona mute.	That was a great movie.	
7440	ni li toki musi pi ike mute.	That was a terrible joke.	
7441	ni li pona mute mute.	That was magnificent.	
7442	soweli tomo mi li pali e sitelen ni.	That was my cat typing.	
7443	mi wile kama jo e ni lon pini.	That was my goal.	
7444	ni li nasin wile mi lon tenpo ale.	That was our plan the whole time.	
7445	pipi ni li lili mute. tenpo pi lon mi la mi lukin ala e pipi pi lili ni.	That was the tiniest cockroach I've ever seen in my life.	
7446	telo ni li lete ala.	That water is not cold.	
7447	telo ni li lete ala.	That water isn't cold.	
7448	ni seme li pana ala e moli ona mute li pana e wawa li kama suli tawa ona mute.	That which does not kill us makes us stronger.	
7449	tenpo pini la ijo li kama. tenpo kama la ni sama li kama sin. tenpo pini la jan li pali e ijo. tenpo kama la jan li pali sin e ijo sama. ala li sin lon anpa suno.	That which has been is that which shall be; and that which has been done is that which shall be done: and there is no new thing under the sun.	
7450	ni li pali ala.	That won't work.	
7451	nimi ni li pu ala.	That word is not in the book.	
7452	sike suno ni la mi tawa ma Pasila lon tenpo nanpa wan.	That year, I went to Brazil for the first time.	
7453	sona pi tawa sina tan ma tomo ni li pilin ike e mi.	That you will leave this town, saddens me.	
7454	open pi tenpo suno pini la pakala li lon.	The accident occurred yesterday morning.	
7455	wan nanpa wan pi tenpo suno pini la pakala li lon.	The accident occurred yesterday morning.	
7456	kon li jo e wawa sewi.	The air has magic in it.	
7457	kon li lete.	The air is chilly.	
7458	kon li jaki lon ma tomo suli.	The air is polluted in the big cities.	
7459	tenpo suno ni la kon li telo li lete. sewi li jaki. ken la telo li tawa tan sewi.	The air today is damp and cold. The sky is cloudy, and it looks like rain.	
7460	tenpo suno ni la mi pilin e kon telo e kon lete. kon telo sewi li weka e suno. mi awen e telo sewi kama.	The air today is damp and cold. The sky is cloudy, and it looks like rain.	
7461	kon li lete.	The air was cold.	
7462	akesi wawa li moli e soweli li moku e ona.	The alligator ate the dog.	
7463	ma Amelika li suli mute.	The American continent is very large.	
7464	mun mute mute luka luka li lon len pi ma Mewika.	The American flag has fifty stars.	
7465	sitelen pi mun lili mute li lon len pi ma Mewika.	The American flag has fifty stars.	
7466	ma Amelika li suli mute.	The Americas are very large.	
7467	kulupu ike pi jan mute li wile moli e jan Isa tan ni: jan Isa li toki ike tawa sewi.	The angry mob wanted Jesus killed for blasphemy.	
7468	kili loje en kasi loje li lon kulupu mama sama.	The apple and the rose are from the same family.	
7469	kili li tawa anpa poka kasi.	The apple does not fall far from the tree.	
7470	kili Pomo li kama anpa lon poka pi kasi suli.	The apple does not fall far from the tree.	
7471	kili Pomo ni li jo e pilin uta suwi.	The apple tastes sweet.	
7472	kulupu utala li tawa lon telo tawa kepeken tenpo suli.	The army slowly advanced across the river.	
7473	tenpo Waton li suli li pona.	The autumn was long and mild.	
7474	jan lili li lon insa pi mama meli.	The baby is in the mother's womb.	
7475	jan akesi li weka ike e poki sewi.	The bandits stole the Holy Grail.	
7476	tomo mani li lon mute lon ma.	The bank has branches in all parts of the country.	
7477	tomo soweli li lili. taso ona li wawa.	The barn was small, but it was strong.	
7478	tenpo mute la, anpa pi telo tawa li jo e ma pona.	The basin of a river usually has rich farmland.	
7479	tomo lape li lon poka pi supa sewi. tomo awen li lon poka pi supa noka.	The bedrooms are upstairs and the living room is downstairs.	
7480	linja supa li suli.	The bench is long.	
7481	jan ike tan jan ike ante li ilo utala pi pona mute ali.	The best weapon against an enemy is another enemy.	
7482	kala suli li moku e kala lili.	The big fish eat the small ones.	
7483	jan suli li pakala suli.	The bigger they are, the harder they fall.	
7484	waso li moku e pipi lili.	The bird is eating little insects.	
7485	waso li lukin kama jo e pipi;	The bird is trying to get the insect.	
7486	waso li kalama musi lon sewi.	The birds were singing in the sky.	
7487	soweli Kane pimeja li lukin e soweli Katu walo.	The black dog sees the white cat.	
7488	tomo tawa telo li tawa lon anpa pi nasin lili sewi.	The boat passed under the bridge.	
7489	tomo tawa telo li jaki ala.	The boat was clean.	
7490	sina pana e mani tu tu, la sina kama jo e lipu ni.	The book costs 4 dollars.	
7491	jan li ken kama jo e lipu lon toki Tosi taso.	The book is only available in German.	
7492	lipu li lon supa.	The books are on the bench.	
7493	lipu li lon supa.	The books are on the table.	
7494	lipu li walo.	The book's white.	
7495	jan lawa li pilin ike mute.	The boss is very upset.	
7496	jan lawa li alasa e sina.	The boss was looking for you.	
7497	poki li pakala tan ni: ijo pi suli en wawa li lon insa ona.	The box fell apart due to the weight of the load.	
7498	poki li jaki a!	The box is all dirty.	
7499	poki ni li suli mute.	The box is very heavy.	
7500	mije lili li kama anpa tan nasin lili sewi.	The boy fell from the bridge.	
7501	jan lili li tawa weka.	The boy ran away.	
7502	jan San li mije lili li lukin e lipu.	The boy reading a book is John.	
7503	mije lili li kepeken e supa monsi.	The boy sat on a chair.	
7504	mama tu ona li kama e ni: ona li wile tawa weka tan tomo sona.	The boy was taken away from school by his parents.	
7505	palisa kasi li anpa. taso ona li pakala ala.	The branch bent but did not break.	
7506	nasin lili sewi li anpa.	The bridge gave way.	
7507	jan li kule sin e nasin lili sewi.	The bridge is being repainted.	
7508	jan li pona sin e nasin lili sewi.	The bridge is being repaired.	
7509	nasin pi supa sewi li sewi.	The bridge is high.	
7510	nasin lili sewi li lili.	The bridge is low.	
7511	jan li pali e nasin lili sewi kepeken kiwen.	The bridge is made of stone.	
7512	linja tawa nasin lili sewi li jo e suli pi linja Mile.	The bridge is one mile above.	
7513	tenpo ni la tomo tawa li ken tawa lon nasin lili sewi.	The bridge is open to traffic.	
7514	jan li pali e nasin lili sewi.	The bridge is under construction.	
7515	poki li insa e telo sewi.	The bucket was full of rainwater.	
7516	pipi li wile moku e telo.	The bug is thirsty.	
7517	pipi li lon anpa mi.	The bug is underneath me.	
7518	jan pi lawa pi tomo tawa kulupu li nasa.	The bus driver was drunk.	
7519	jan ala li lon tomo tawa pi jan mute.	The bus was empty.	
7520	tenpo pini la pipi Papilon li tawa lon kon.	The butterfly flew.	
7521	poki tomo li open.	The cage is open.	
7522	pan suwi ni li jo e pilin uta suwi kin.	The cake tastes sweet.	
7523	linja telo ni li wan e telo Atalansi e telo Pasipiko.	The canal connects the Atlantic and Pacific Oceans.	
7524	ma tomo lawa pi ma Kanse li ijo Paki.	The capital city of France is Paris.	
7525	ma tomo lawa pi ma Kanse li ijo Paki.	The capital of France is Paris.	
7526	ma tomo lawa pi ma Mosijo li ijo Putapesi.	The capital of Hungary is Budapest.	
7527	ma tomo pi ma Palata li ijo Nowateli.	The capital of India is New Delhi.	
7528	ma tomo lawa pi ma Italija li ijo Loma.	The capital of Italy is Rome.	
7529	ma tomo lawa pi ma Nuwe li ijo Alopi.	The capital of Niue is Alofi.	
7530	ma tomo lawa pi ma Posuka li ijo Wasawa.	The capital of Poland is Warsaw.	
7531	ma tomo lawa pi ma Wensa li ijo Sokome.	The capital of Sweden is Stockholm.	
7532	ma tomo lawa pi ma Juke li ijo Lanten.	The capital of the United Kingdom is London.	
7533	ma tomo lawa pi ma Tuki li ijo Ankawa.	The capital of Turkey is Ankara.	
7534	ma tomo lawa pi ma Ukawina li ijo Kijewi.	The capital of Ukraine is Kyiv.	
7535	ma tomo lawa pi ma Wije li ijo Kanowi.	The capital of Vietnam is Hanoi.	
7536	mi wile tawa noka tan ni: tomo tawa li pakala.	The car broke down, so that we had to walk.	
7537	tomo tawa li kiwen utala tawa kasi suli.	The car hit a tree.	
7538	tomo tawa li lon supa pi nasin lili sewi.	The car is on the bridge.	
7539	tomo tawa li pini tawa.	The car stopped.	
7540	tomo tawa li tawa poka pi luka wawa.	The car turned right.	
7541	sijelo pi pipi Oluka li kama sijelo pi pipi Papilon.	The caterpillar turned into a butterfly.	
7542	soweli Katu li weka tan oko lon insa pi palisa kasi.	The cat hid among the branches.	
7543	soweli Kato li moku.	The cat is eating.	
7544	soweli li pona.	The cat is good.	
7545	soweli tomo li pona.	The cat is good.	
7546	soweli Katu li lape lon supa.	The cat is sleeping on the chair.	
7547	soweli Katu li pona lukin mute.	The cat is very cute.	
7548	soweli Katu li pakala e supa lape mi.	The cat ruined my sofa.	
7549	soweli tomo li lape lon suno.	The cat was basking in the sun.	
7550	jan pi tomo kiwen li toki lon toki pona.	The cave-man spoke Toki Pona.	
7551	musi pi jan lawa ma la insa pi supa musi li jo e suli mute. musi sina li jo e insa wawa, la sina pali pona e utala e awen. insa musi li jo e ma e4 e ma e5 e ma d4 e ma d5.	The center in the game of chess, formed by the e4, e5, d4, and d5 squares, has exceptional strategic importance. Whoever has a strong center will always have an advantage in carrying out both attack and defense operations.	
7552	jan lawa li wile ala e nasin.	The chairman rejected the proposal.	
7553	open pi tenpo suno ni la waso li pana e sike.	The chicken laid an egg this morning.	
7554	jan li wile pana e moku tawa waso mani.	The chickens need to be fed.	
7555	jan lawa li toki tawa mi.	The chief is speaking to me.	
7556	jan lili li wile ala lape.	The child doesn't want to sleep.	
7557	jan lili li kama sona toki.	The child is learning how to speak.	
7558	tenpo mun ali la jan lili pi poka pi tomo mi li lon pana sona ante tu wan.	The child next door has to attend three different extra classes every month.	
7559	jan lili ni li pona mute. jan suli li pona lili.	The child puts adults to shame.	
7560	jan lili li lape.	The children are asleep.	
7561	jan lili mute li jo e wawa mute.	The children are full of energy.	
7562	jan lili li musi lon ma pi kasi kule.	The children are playing in the garden.	
7563	jan lili li alasa e pipi.	The children caught butterflies.	
7564	jan lili li alasa e pipi Papilon.	The children caught butterflies.	
7565	jan lili li weka lon ma tomo len.	The children got lost at the campground.	
7566	jan lili li weka e nasin ona lon ma kasi suli.	The children got lost in the woods.	
7567	jan lili li awen e ko lete nanpa wan li wile pali e jan pi ko lete.	The children looked forward to the first snow that they might build a snowman.	
7568	jan lili li tawa lon telo li kepeken len ala.	The children were swimming in the nude.	
7569	jan lili li weka e len ona li tawa lon telo.	The children were swimming naked.	
7570	jan lili li jo e lawa pi wawa sewi.	The child was exceptionally intelligent.	
7571	jan lili li pana e kili tawa soweli jan.	The child was feeding the monkey with the banana.	
7572	soweli Sinpani li pona. ona li wawa tawa kama sona ijo mute. ona li pali sama jan.	The chimpanzee is a friendly and clever animal that can quickly imitate and learn many things.	
7573	jan Sonke li pali pona.	The Chinese are a hard-working people.	
7574	sina awen ala e suwi pimeja lon poki lete la, ona li kama telo.	The chocolate is going to melt if you keep it out of the fridge.	
7575	nasin sewi Kolisu li kama tan sewi. lupa kiwen pi ma anpa ike li ala tawa ona. jan sona pi nasin sewi ni li ken toki e tan pi nasin sewi ni. ona li awen lon tenpo pini mute mute. ona li awen lon tenpo kama mute mute.	The Christian religion is from heaven. The gates of hell shall not prevail against it, and its professors are not afraid of its being examined. It has stood for eighteen hundred years, and it will stand long.	
7576	jan pona pi jan sewi li toki e ni: sina jo ala e jan olin la o unpa ala!	The church teaches abstinence before marriage.	
